State Name,District Name,Block Name,Panchayat Name,Village Name,Habitation Name,Quality Parameter,Year
ASSAM,SONITPUR,BALIPARA,NIZ-GOROIMARI,NIZ GOROI MARI,NIZ GOROIMARI CENTRAL,Iron,1/4/2012
RAJASTHAN,BANSWARA,SAJJANGARH,MAGARDA,NAGARDA-KHATELA-SATH,MAGARDA KHATELA SATH,Fluoride,1/4/2012
MAHARASHTRA,PARBHANI,PARBHANI,ALAND,ALAND,ALAND,Iron,1/4/2009
RAJASTHAN,BARMER,SINDHARY,KHARA MAHECHAN,GALA NADI,SUTHARO KI DHANI,Salinity,1/4/2012
RAJASTHAN,BARMER,DHORIMANA,NEHARO KI NADI,HARPUNIYON WALA,RUGNAL KI DHANI,Salinity,1/4/2009
CHATTISGARH,MAHASAMUND,SARAIPALI,SIRBODA,CHHIRRAKHAR,CHHIRRAKHAR,Iron,1/4/2009
RAJASTHAN,JODHPUR,SHERGARH,GADA,RATANPURA,DEWARON KD,Salinity,1/4/2009
BIHAR,MADHEPURA,SHANKARPUR,RAIBHAR,BASANTPUR,TATMA TOLA,Iron,1/4/2010
BIHAR,PURNIA,KRITYANAND NAGAR,GANGIALY,GANGAILI,BARMASIA MOCHI,Iron,1/4/2011
TRIPURA,SOUTH TRIPURA,SATCHAND,BETAGA,SUBAL PARA,MOUCHANDRA PUR,Iron,1/4/2012
RAJASTHAN,NAGAUR,PARBATSAR,DHADHOTA,DHADHOTA,DODIWALO KI DHANI,Salinity,1/4/2009
RAJASTHAN,AJMER,MASUDA,ANDHI DEORI,BHARKALA,MAYLA BADIA,Salinity,1/4/2011
RAJASTHAN,BARMER,CHOHTAN,BURAN KA TALA,BURAHAN KA TALA,BURAN KA TALA,Salinity,1/4/2011
RAJASTHAN,AJMER,PISANGAN,MANGALIYAWAS,MANGALIYAWAS,MANGALIYAWAS,Fluoride,1/4/2009
CHATTISGARH,DHAMTARI,DHAMTARI,CHAATI,CHHATI,AWASPARA,Iron,1/4/2009
RAJASTHAN,RAJSAMAND,DEOGARH,VIJAYPURA,KITOKA WADIYA,KITO KA BADIYA,Fluoride,1/4/2009
BIHAR,SUPAUL,SUPAUL,BALHA,BALHA,M. HARIJAN TOLA,Iron,1/4/2011
ASSAM,NAGAON,BINNAKANDI,KAPASHBARI,KAKPASH BARI,HANNAN BASTI,Fluoride,1/4/2009
BIHAR,BEGUSARAI,TEGHRA,BAROUNI-III,BAROUNI (PART),BAKHTAR STHAN,Iron,1/4/2010
BIHAR,ARARIA,FORBESGANJ,KHAIRKHAN,SAMAUL,SAMAUL,Iron,1/4/2009
RAJASTHAN,NAGAUR,DEGANA,NIMBARI CHANDAWATAN,DHADHARIYA KALAN,CHHARAUGO KI DHANI II,Fluoride,1/4/2011
KARNATAKA,BIJAPUR,MUDDEBIHAL,RUDAGI,GUNDAKARAJAGI,GUNDAKARAJAGI,Fluoride,1/4/2012
